Ticker,Name,Sector,Industry,MarketCap,PreviousClose,Status
KICI,Kedaung Indah Can Tbk,Consumer Cyclical,"Furnishings, Fixtures & Appliances",61271998464,224.0,Success
KIJA,Kawasan Industri Jababeka Tbk,Real Estate,Real Estate - Development,3722632495104,187.0,Success
KKGI,Resource Alam Indonesia Tbk,Energy,Thermal Coal,1530225360896,320.0,Success
KONI,Perdana Bangun Pusaka Tbk,Consumer Cyclical,Specialty Retail,808079982592,2960.0,Success
KOIN,Kokoh Inti Arebama Tbk,Industrials,Building Products & Equipment,82390867968,84.0,Success
KIAS,Keramika Indonesia Assosiasi Tb,Industrials,Building Products & Equipment,313511084032,21.0,Success
KLBF,Kalbe Farma Tbk,Healthcare,Drug Manufacturers - General,39172844814336,875.0,Success
KRAS,Krakatau Steel (Persero) Tbk.,Basic Materials,Steel,5610455171072,306.0,Success
KOBX,Kobexindo Tractors Tbk.,Industrials,Farm & Heavy Construction Machinery,429502496768,194.0,Success
KREN,Quantum Clovera Investama Tbk.,Financial Services,Asset Management,327676461056,19.0,Success
KPIG,MNC Tourism Indonesia Tbk.,Real Estate,Real Estate Services,10984330625024,119.0,Success
LEAD,Logindo Samudramakmur Tbk.,Industrials,Marine Shipping,788747845632,147.0,Success
LINK,Link Net Tbk.,Communication Services,Telecom Services,4884632436736,1800.0,Success
IPOL,Indopoly Swakarsa Industry Tbk.,Consumer Cyclical,Packaging & Containers,824752603136,135.0,Success
LAPD,Leyand International Tbk,N/A,N/A,356971511808,104.0,Success
LMAS,"LMAS.JK,0P0000B77G,0",N/A,N/A,39392600064,0,Success
KDSI,Kedawung Setia Industrial Tbk.,Consumer Cyclical,Packaging & Containers,732240019456,462.0,Success
LMSH,Lionmesh Prima Tbk.,Industrials,Metal Fabrication,24576000000,256.0,Success
LMPI,Langgeng Makmur Industri Tbk.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",169430974464,172.0,Success
LCGP,"LCGP.JK,0P0000EOLE,0",N/A,N/A,0,0,Success
KOPI,Mitra Energi Persada Tbk.,Energy,Oil & Gas Refining & Marketing,171527602176,262.0,Success
LPCK,Lippo Cikarang Tbk,Real Estate,Real Estate - Development,3209178644480,630.0,Success
LPGI,Lippo General Insurance Tbk,Financial Services,Insurance - Diversified,2085000052736,695.0,Success
LION,Lion Metal Works Tbk,Industrials,Business Equipment & Supplies,216386568192,416.0,Success
LSIP,PP London Sumatra Indonesia Tbk,Consumer Defensive,Farm Products,11423439650816,1735.0,Success
LRNA,Eka Sari Lorena Transport Tbk.,Industrials,Railroads,70700007424,200.0,Success
LTLS,Lautan Luas Tbk,Basic Materials,Specialty Chemicals,1157104140288,810.0,Success
LPIN,Multi Prima Sejahtera Tbk,Consumer Cyclical,Auto Parts,195499999232,472.0,Success
MAGP,"MAGP.JK,0P0000XUPW,0",N/A,N/A,449999962112,0,Success
MAIN,Malindo Feedmill Tbk,Consumer Defensive,Packaged Foods,2152430174208,1000.0,Success
LPLI,Star Pacific Tbk,Real Estate,Real Estate Services,351129829376,306.0,Success
MAPI,Mitra Adiperkasa Tbk,Consumer Cyclical,Department Stores,20417999798272,1290.0,Success
MAYA,Bank Mayapada Internasional Tbk,Financial Services,Banks - Regional,5155068051456,202.0,Success
LPPS,Lenox Pasifik Investama Tbk.,Financial Services,Capital Markets,225177763840,88.0,Success
